,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Ph1-Ph6,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,0.13208145766206184,0.36275102532084375,0.3548363391282521,0.08955848464488123,,0.3548363391282521,0.08955848464488123,0.09793689784317658,0.2652778544833708,0.06624685399869047
208,0.3788295259311109,0.3014826353118797,0.3896484487312495,0.39712004600222334,,0.3896484487312495,0.39712004600222334,-0.0027584098947037927,-0.007471597270973851,0.07621073311423679
209,0.4878881231841133,0.7369536115715982,1.4684660958034028,1.0948647245810863,,1.4684660958034028,1.0948647245810863,0.13792843506944277,0.3736013712223165,0.38498859075431247
210,0.7114152954287903,1.4559333759076583,1.0457725264753612,0.4011971007143915,,1.0457725264753612,0.4011971007143915,0.23796829082440937,0.6445754257609697,0.2640057581786972
211,0.5696315930471684,0.47693479193573707,0.27442475758435886,0.5861696422995685,,0.5696315930471684,0.5861696422995685,-0.006105617988022678,-0.0165380492524001,0.1277252869074758
212,0.25129283034241784,0.3915040666116081,0.3625329316158024,1.0732956004274972,1.0014624787651965,0.3625329316158024,1.0732956004274972,-0.26240370128791907,-0.7107626688116948,0.0684497632168371
215,0.05411586731135502,0.34872725475085603,0.8023523057889964,0.3099769853827046,0.3251761951857925,0.8023523057889964,0.3099769853827046,0.18177812674580102,0.49237532040629184,0.1943343225530403
216,0.28518937925744825,0.31293774434336585,0.7662741823423482,0.10460030402090832,0.3787669693351385,0.7662741823423482,0.10460030402090832,0.24428080192697538,0.6616738783214399,0.1840080865151299
217,0.40686251340769447,0.23153460894737757,0.3468339093540182,0.3392478496530151,0.31230606001142724,0.40686251340769447,0.3392478496530151,0.024962394353418873,0.0676146637546794,0.08113772149498479
219,0.09957136110406564,0.31711756970020133,0.4289723678358253,0.10886467291331686,0.24420400786149193,0.4289723678358253,0.10886467291331686,0.11817931307343889,0.32010769492250846,0.08746597678593256
220,0.17131875040431127,0.33386773256222163,0.24989075799064803,0.3062372835146807,0.3397367241973755,0.24989075799064803,0.3062372835146807,-0.020802354289287485,-0.05634652552403269,0.036209459078050274
