,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Ph1-Ph6,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,2.2104584035975483,3.4286699493669985,3.271628573618592,2.5883847111956975,,3.271628573618592,2.5883847111956975,0.36079784594536474,0.6832438624228945,0.5984087525317027
208,2.3703458703802514,3.6602222511049387,2.1787246804001206,2.179822189861639,,2.3703458703802514,2.179822189861639,0.10060907578288815,0.19052368051861235,0.38694721879347377
209,2.4262478558421825,2.9117228598495655,4.9832743690337695,3.460011596181241,,4.9832743690337695,3.460011596181241,0.8043832626685002,1.5232627728525285,1.0
210,2.2567949060493935,2.778165809241165,3.7147110225177435,2.5958309763920338,,3.7147110225177435,2.5958309763920338,0.5908424981409381,1.1188800461257098,0.7023660279571113
211,3.2747338565348407,3.4707711241842594,2.1790824007077014,2.822060233187125,,3.2747338565348407,2.822060233187125,0.23904154461185603,0.45267362334771555,0.5991373229189982
212,0.6304079936568563,1.0105779589027148,1.2461752297661501,1.9709106589146785,2.6339574216987227,1.2461752297661501,1.9709106589146785,-0.38270813116391145,-0.7247354291485284,0.12319107769189379
215,2.1016450812334777,2.2335111707477138,2.943166556793679,3.555539791691643,3.3616939268139814,2.943166556793679,3.555539791691643,-0.3233734779296523,-0.612373234897964,0.5213440517413888
216,1.8112148736361726,2.309162747455498,2.534138896817635,3.651344157534413,3.7640192218708544,2.534138896817635,3.651344157534413,-0.5899581009275912,-1.1172052607167782,0.4253768086010084
217,2.401387506517456,1.9951630927947532,2.6676210049009565,3.281806136485622,3.5124070292581107,2.6676210049009565,3.281806136485622,-0.32433027894549926,-0.6141851315846654,0.45669476377810553
219,1.808017022427023,3.381829674549455,3.4499962671391966,1.5562935466236274,2.6934725169425393,3.4499962671391966,1.5562935466236274,1.0,1.8937027205155692,0.6402578925470338
220,2.324985643540443,2.2752435030798783,2.39425212200506,2.5261183479409586,2.5376906737995957,2.39425212200506,2.5261183479409586,-0.06963406901585761,-0.13186622593589847,0.3925561721400213
231,3.0623559757630114,3.0275604133821012,2.940096817741097,2.9945169957697795,3.4528692383982875,3.0623559757630114,2.9945169957697795,0.035823458063556295,0.06783897999323196,0.5493086151908643
233,1.401302695809383,1.165787643045846,1.1983251275643778,0.8142385929978511,1.4985385298402412,1.401302695809383,0.8142385929978511,0.31000858606344567,0.587064102811532,0.15958752885706423
235,1.9188958796001574,2.3000299171500243,1.645096941183509,1.8226027660952182,2.7693192151591393,1.9188958796001574,1.8226027660952182,0.05084911821783883,0.09629311350493919,0.28102672668432604
237,3.940210621190618,3.049114034762601,3.401039606592646,3.143584553008127,3.6141315084466803,3.940210621190618,3.143584553008127,0.4206711325659425,0.796626068182491,0.755273390787208
239,3.860130623755385,2.7331795630998204,2.60123745187085,2.00268739281276,2.5459379045959913,3.860130623755385,2.00268739281276,0.9808525967776651,1.857443230942625,0.7364847920283901
244,3.600240007638674,1.9392365826045213,2.1098329642546756,2.56843797645765,2.8319682335528538,3.600240007638674,2.56843797645765,0.5448595600581442,1.0318020311810239,0.6755085100130458
245,3.2529134660735357,2.034110055402097,2.186447695648098,2.2266013408794363,2.90372329976485,3.2529134660735357,2.2266013408794363,0.541960527423587,1.0263121251940994,0.5940177603032555
246,1.313778315125479,0.8662714545173216,2.2728386655404504,3.1028329600347395,2.7800164893544173,2.2728386655404504,3.1028329600347395,-0.438291757994792,-0.8299942944942891,0.36406979863233335
256,1.8614788946038874,2.3034196061580663,2.4367769733380107,3.725441345717266,3.159282258521852,2.4367769733380107,3.725441345717266,-0.6804998263024148,-1.2886643723792552,0.4025334747694249
260,2.4511906049963064,2.2299710270741615,2.367968135932157,3.917872198417462,3.9581798328605418,2.4511906049963064,3.917872198417462,-0.7745046661927195,-1.4666815934211557,0.4059152423837925
261,1.4569381202195812,1.8114790059989003,1.3277339583724308,1.0052317184680204,2.0159555556863036,1.4569381202195812,1.0052317184680204,0.23853078778309075,0.45170640175156085,0.17264087175789505
263,1.4894007183734945,2.234747718401644,4.116482189176929,2.785564428157853,3.199559988011209,4.116482189176929,2.785564428157853,0.7028124037635259,1.3309177610190757,0.7966307318156096
264,1.5236929424567767,1.911786964176003,1.7806870557460468,1.4613805296910303,1.9271614498879266,1.7806870557460468,1.4613805296910303,0.16861491647859272,0.3193065260550165,0.24859977589148666
269,1.790982618924613,2.3244363400607635,2.7933916248389052,3.9480661241238146,,2.7933916248389052,3.9480661241238146,-0.6097443314495234,-1.1546744992849094,0.48620342748121154
278,1.7926047292807474,1.1619181667354261,1.1046147875416419,2.1344915742664536,,1.7926047292807474,2.1344915742664536,-0.1805388149268888,-0.3418868449857062,0.2513959346496481
279,1.9119114463369866,1.0507954796043584,1.914301181939795,2.3091119648005676,,1.914301181939795,2.3091119648005676,-0.20848614652319003,-0.39481078286077254,0.2799487055364302
280,1.8824934377948688,2.495681034060734,2.234272885794813,3.191624233124971,,2.234272885794813,3.191624233124971,-0.5055446860579652,-0.957351347330158,0.3550213847378678
281,2.1371803893017614,2.864602554325619,3.7898495947676096,3.1551959984887414,,3.7898495947676096,3.1551959984887414,0.3351389789977599,0.6346535962788682,0.7199952553613076
282,2.486450531707108,1.8254230780961067,2.91592187534267,2.904816902646867,,2.91592187534267,2.904816902646867,0.005864158389538373,0.011104972695803017,0.5149518264106022
283,3.586717754088816,2.669139536490989,2.742145524595762,3.971853859954561,,3.586717754088816,3.971853859954561,-0.20337727864745853,-0.3851361058657452,0.6723358800879666
284,1.9964154250862063,1.8092165558546756,2.4588657852983555,2.9097225378842495,,2.4588657852983555,2.9097225378842495,-0.23808211695611134,-0.45085675258589397,0.40771601520741074
285,2.5414728376611606,2.664655573760968,2.3309035085227165,2.9355653165086015,,2.5414728376611606,2.9355653165086015,-0.20810683460398022,-0.3940924788474409,0.42709751884380476
287,0.7199570997107376,0.7673062430032291,0.72111525524407,0.9536632461567713,,0.72111525524407,0.9536632461567713,-0.12280068481360634,-0.23254799091270129,0.0
288,2.636198619216414,3.3575126665094843,2.064585513358306,2.2722637215088692,,2.636198619216414,2.2722637215088692,0.1921816416931913,0.3639348977075447,0.4493223534936374
289,1.4524200345161062,0.5200075318793413,1.1681745377303479,1.643700405957016,,1.4524200345161062,1.643700405957016,-0.10100865852314599,-0.1912803714409097,0.17158082552713438
292,1.034910707497453,1.1335918087789902,0.6706813350246521,0.9366204937749455,,1.034910707497453,0.9366204937749455,0.051903718919381184,0.09829021372250757,0.07362358933014392
304,2.295651214057914,2.9043902167125673,2.904036251692986,3.31524885083875,,2.904036251692986,3.31524885083875,-0.21714738786128454,-0.411212599145764,0.512163187288419
305,3.077639959667381,2.3352140228721634,2.8684947552103126,3.331834927872544,,3.077639959667381,3.331834927872544,-0.13423171728662722,-0.25419496820516274,0.5528945873463664
306,2.9423558678382733,2.313454277567002,1.6906195099378516,1.5523517815721646,,2.9423558678382733,1.5523517815721646,0.7340138825420676,1.3900040862661087,0.521153845572693
307,3.2299844511259366,1.5451727469914107,3.4408410021684714,2.46354346548292,,3.4408410021684714,2.46354346548292,0.516077590266902,0.9772975366855516,0.6381098580118837
308,2.0145174122915055,1.815402561207598,2.245950666316525,3.054273982057095,,2.245950666316525,3.054273982057095,-0.42684805116639435,-0.8083233157405698,0.3577612591090358
