Subject,Phase_vs_phase,model,Silhouette_Manhalanobis
316,Birch,phase1_vs_phase2,0.23772069774056925
316,Birch,phase1_vs_phase3,0.1796132845042285
316,Birch,phase1_vs_phase4,0.2322447281424204
316,Birch,phase1_vs_phase5,0.18568531708197147
316,KMeans,phase1_vs_phase2,0.19718821025637623
316,KMeans,phase1_vs_phase3,0.1849765030417918
316,KMeans,phase1_vs_phase4,0.21818164038661522
316,KMeans,phase1_vs_phase5,0.18933874070642404
317,Birch,phase1_vs_phase2,0.14627001737827597
317,Birch,phase1_vs_phase3,0.15255586068412388
317,Birch,phase1_vs_phase4,0.12211932821010558
317,Birch,phase1_vs_phase5,0.17326274589245158
317,KMeans,phase1_vs_phase2,0.14818334101395525
317,KMeans,phase1_vs_phase3,0.16351117833075884
317,KMeans,phase1_vs_phase4,0.13813280082074877
317,KMeans,phase1_vs_phase5,0.15280513807948937
318,Birch,phase1_vs_phase2,0.13715972397236958
318,Birch,phase1_vs_phase3,0.12110864812693344
318,Birch,phase1_vs_phase4,0.14231136237698605
318,Birch,phase1_vs_phase5,0.1784136743326369
318,KMeans,phase1_vs_phase2,0.10630307992397461
318,KMeans,phase1_vs_phase3,0.12542532950337462
318,KMeans,phase1_vs_phase4,0.12076275944381899
318,KMeans,phase1_vs_phase5,0.18358324436092385
413,Birch,phase1_vs_phase2,0.13437850346606492
413,Birch,phase1_vs_phase3,0.1347234505135048
413,Birch,phase1_vs_phase4,0.12735407107166496
413,Birch,phase1_vs_phase5,0.12847256582458907
413,KMeans,phase1_vs_phase2,0.1358877164287504
413,KMeans,phase1_vs_phase3,0.13522029177430775
413,KMeans,phase1_vs_phase4,0.13311180578445392
413,KMeans,phase1_vs_phase5,0.13656091368212886
414,Birch,phase1_vs_phase2,0.1363761762744651
414,Birch,phase1_vs_phase3,0.13168008608065224
414,Birch,phase1_vs_phase4,0.14519024931279947
414,Birch,phase1_vs_phase5,0.13314959508162522
414,KMeans,phase1_vs_phase2,0.12664636900346285
414,KMeans,phase1_vs_phase3,0.12434748164865328
414,KMeans,phase1_vs_phase4,0.13118722599073865
414,KMeans,phase1_vs_phase5,0.1276257128544768
415,Birch,phase1_vs_phase2,0.17287214046705354
415,Birch,phase1_vs_phase3,0.2596074820165928
415,Birch,phase1_vs_phase4,0.2329281857883236
415,Birch,phase1_vs_phase5,0.23974622904324702
415,KMeans,phase1_vs_phase2,0.17078499121328758
415,KMeans,phase1_vs_phase3,0.26115150840814944
415,KMeans,phase1_vs_phase4,0.23579846496500817
415,KMeans,phase1_vs_phase5,0.241183013256502
416,Birch,phase1_vs_phase2,0.4444511924331716
416,Birch,phase1_vs_phase3,0.29680313795547086
416,Birch,phase1_vs_phase4,0.44902810351673905
416,Birch,phase1_vs_phase5,0.24332009938529342
416,KMeans,phase1_vs_phase2,0.24358210311615527
416,KMeans,phase1_vs_phase3,0.237579461585231
416,KMeans,phase1_vs_phase4,0.23841154117969116
416,KMeans,phase1_vs_phase5,0.243305954834737
423,Birch,phase1_vs_phase2,0.7277657166742214
423,Birch,phase1_vs_phase3,0.4433534262033323
423,Birch,phase1_vs_phase4,0.46655773040133336
423,Birch,phase1_vs_phase5,0.41632125764355826
423,KMeans,phase1_vs_phase2,0.583700796252989
423,KMeans,phase1_vs_phase3,0.1202606957353833
423,KMeans,phase1_vs_phase4,0.2082504999163473
423,KMeans,phase1_vs_phase5,0.2118567814426593
424,Birch,phase1_vs_phase2,0.16313033334114824
424,Birch,phase1_vs_phase3,0.17690152513715732
424,Birch,phase1_vs_phase4,0.4520306873454955
424,Birch,phase1_vs_phase5,0.15873827262220125
424,KMeans,phase1_vs_phase2,0.14291257396695659
424,KMeans,phase1_vs_phase3,0.14439252860315607
424,KMeans,phase1_vs_phase4,0.16200697537600292
424,KMeans,phase1_vs_phase5,0.15592707006787027
425,Birch,phase1_vs_phase2,0.16773978386311122
425,Birch,phase1_vs_phase3,0.17583425652281048
425,Birch,phase1_vs_phase4,0.15879839124241799
425,Birch,phase1_vs_phase5,0.24809267470058066
425,KMeans,phase1_vs_phase2,0.16103266932584304
425,KMeans,phase1_vs_phase3,0.1788083517286093
425,KMeans,phase1_vs_phase4,0.1556295726729451
425,KMeans,phase1_vs_phase5,0.18136809742536064
437,Birch,phase1_vs_phase2,0.1109121632551588
437,Birch,phase1_vs_phase3,0.12561665002860156
437,Birch,phase1_vs_phase4,0.1707963809471081
437,Birch,phase1_vs_phase5,0.09597543194125849
437,KMeans,phase1_vs_phase2,0.16987796138790803
437,KMeans,phase1_vs_phase3,0.1640196801033927
437,KMeans,phase1_vs_phase4,0.15689594651448063
437,KMeans,phase1_vs_phase5,0.16576706181462772
439,Birch,phase1_vs_phase2,0.21549437046441688
439,Birch,phase1_vs_phase3,0.23857275062384295
439,Birch,phase1_vs_phase4,0.24990167753491965
439,Birch,phase1_vs_phase5,0.2469749646959783
439,KMeans,phase1_vs_phase2,0.2187879867974028
439,KMeans,phase1_vs_phase3,0.23857275062384295
439,KMeans,phase1_vs_phase4,0.24990167753491965
439,KMeans,phase1_vs_phase5,0.2469749646959783
440,Birch,phase1_vs_phase2,0.1236982897047533
440,Birch,phase1_vs_phase3,0.162186122360214
440,Birch,phase1_vs_phase4,0.3731991769268708
440,Birch,phase1_vs_phase5,0.18712185779485957
440,KMeans,phase1_vs_phase2,0.12713219915505197
440,KMeans,phase1_vs_phase3,0.13370047595920315
440,KMeans,phase1_vs_phase4,0.16514279476102298
440,KMeans,phase1_vs_phase5,0.1441983773069595
441,Birch,phase1_vs_phase2,0.397254460448291
441,Birch,phase1_vs_phase3,0.22906059167179718
441,Birch,phase1_vs_phase4,0.2525975032506891
441,Birch,phase1_vs_phase5,0.235501365952253
441,KMeans,phase1_vs_phase2,0.1881709466932882
441,KMeans,phase1_vs_phase3,0.22906059167179718
441,KMeans,phase1_vs_phase4,0.2525975032506891
441,KMeans,phase1_vs_phase5,0.235501365952253
442,Birch,phase1_vs_phase2,0.15469231154167645
442,Birch,phase1_vs_phase3,0.17306951166965917
442,Birch,phase1_vs_phase4,0.1540592295336813
442,Birch,phase1_vs_phase5,0.1699591452313519
442,KMeans,phase1_vs_phase2,0.15661454018193172
442,KMeans,phase1_vs_phase3,0.1668835619663104
442,KMeans,phase1_vs_phase4,0.16081183091325782
442,KMeans,phase1_vs_phase5,0.17165071375621035
