Subject,Phase_vs_phase,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
233,phase3_vs_phase4,100.1769104,0.107974596,13.04165219
233,phase5_vs_phase2,2604.675566,0.121285191,3.432475993
233,phase5_vs_phase4,192.8574313,0.098699971,13.46119924
235,phase1_vs_phase3,4550.04707,0.112936241,2.723732392
235,phase1_vs_phase5,363.9054097,0.165149217,2.167166623
235,phase3_vs_phase5,433.9615851,0.166249674,2.127983826
235,phase1_vs_phase2,1317.896173,0.116897731,4.120910924
235,phase1_vs_phase4,696.058395,0.155753404,2.949379657
235,phase3_vs_phase2,259.8870497,0.126915475,9.566524778
235,phase3_vs_phase4,796.9556531,0.128536463,2.967519729
235,phase5_vs_phase2,414.2867809,0.165328409,2.631377089
235,phase5_vs_phase4,84.79637894,0.124688657,5.266307051
237,phase1_vs_phase3,2273.974158,0.120547286,4.136981404
237,phase1_vs_phase5,1136.787758,0.110249007,6.163206173
237,phase3_vs_phase5,400.8483332,0.124376946,10.17106043
237,phase1_vs_phase2,1180.783423,0.128566071,3.89719923
237,phase1_vs_phase4,1227.552841,0.128663139,4.732235331
237,phase3_vs_phase2,159.8410751,0.13272368,10.41229255
237,phase3_vs_phase4,217.2452838,0.145770158,11.03836671
237,phase5_vs_phase2,551.4953456,0.137360433,6.066602566
237,phase5_vs_phase4,256.6458494,0.103188344,10.89361425
239,phase1_vs_phase3,5533.291366,0.108240564,2.35709987
239,phase1_vs_phase5,314.0979873,0.108279567,10.14098277
239,phase3_vs_phase5,4230.600606,0.143927579,2.707855115
239,phase1_vs_phase2,1526.68626,0.134150302,1.55309339
239,phase1_vs_phase4,1112.958391,0.097106979,4.303322313
239,phase3_vs_phase2,144.4379544,0.123489001,5.735969116
239,phase3_vs_phase4,1091.652961,0.119016836,4.513808942
239,phase5_vs_phase2,1348.959682,0.143853011,1.815480343
239,phase5_vs_phase4,555.2318862,0.113866165,6.310582717
244,phase1_vs_phase3,4204.419778,0.078701013,2.531634306
244,phase1_vs_phase5,2713.790237,0.082860482,2.997193436
244,phase3_vs_phase5,161.5681332,0.078558098,12.3882817
244,phase1_vs_phase2,1782.19667,0.106439195,1.314578639
244,phase1_vs_phase4,3023.788148,0.088410664,2.950406767
244,phase3_vs_phase2,368.09172,0.100016186,2.973345982
244,phase3_vs_phase4,186.5717772,0.062241226,11.95860148
244,phase5_vs_phase2,564.106654,0.108229546,2.296087605
244,phase5_vs_phase4,39.29525643,0.082700835,24.75768899
245,phase1_vs_phase3,1801.001361,0.091721887,4.874431516
245,phase1_vs_phase5,2280.716384,0.094308089,4.097844454
245,phase3_vs_phase5,7048.970803,0.112748895,2.335416536
245,phase1_vs_phase2,690.0324993,0.108867732,1.965793333
245,phase1_vs_phase4,915.7448919,0.091969223,6.701949491
245,phase3_vs_phase2,224.23113,0.114180652,3.699836165
245,phase3_vs_phase4,4729.62952,0.090387871,2.938581017
245,phase5_vs_phase2,1501.660802,0.121985276,1.309366484
245,phase5_vs_phase4,495.9238149,0.104723708,8.56170594
246,phase1_vs_phase3,121.4426425,0.091204752,7.138843934
246,phase1_vs_phase5,6562.648957,0.119984312,1.879839226
246,phase3_vs_phase5,679.3465955,0.135625896,3.316192033
246,phase1_vs_phase2,344.5536829,0.104995642,7.395720174
246,phase1_vs_phase4,4162.053888,0.101790485,2.532148086
246,phase3_vs_phase2,344.5821953,0.115671111,4.414749585
246,phase3_vs_phase4,267.5268874,0.097527549,5.30300933
246,phase5_vs_phase2,5656.991296,0.128927832,1.741942795
246,phase5_vs_phase4,383.3934561,0.117761301,7.502626002
256,phase1_vs_phase3,3776.656726,0.135899834,2.502044403
256,phase1_vs_phase5,8183.164293,0.11378313,1.908729301
256,phase3_vs_phase5,437.0370103,0.129335295,7.135160175
256,phase1_vs_phase2,2228.329316,0.10663294,2.836849188
256,phase1_vs_phase4,6395.909946,0.109440106,2.372050883
256,phase3_vs_phase2,223.1645517,0.067255042,8.356594073
256,phase3_vs_phase4,39.18478129,0.082996433,26.44626128
256,phase5_vs_phase2,1043.784943,0.12131768,3.99372114
256,phase5_vs_phase4,578.9320433,0.103683623,7.621375893
260,phase1_vs_phase3,93.57959581,0.102514606,19.28293455
260,phase1_vs_phase5,134.3902902,0.119078018,6.046074241
260,phase3_vs_phase5,89.72275827,0.140074371,7.761393665
260,phase1_vs_phase2,57.90524721,0.102469851,21.27602095
260,phase1_vs_phase4,34.11646978,0.105395536,13.36343473
260,phase3_vs_phase2,79.58974131,0.08208242,17.20233051
260,phase3_vs_phase4,44.20569113,0.090641505,12.21918321
260,phase5_vs_phase2,175.2369514,0.13538437,4.915230534
260,phase5_vs_phase4,110.3060641,0.12681361,4.325160283
261,phase1_vs_phase3,53.30043205,0.113645788,23.95373489
261,phase1_vs_phase5,180.569657,0.094882276,13.35982728
261,phase3_vs_phase5,209.7898148,0.131086852,12.16173697
261,phase1_vs_phase2,46.97347607,0.102837149,22.07889647
261,phase1_vs_phase4,108.7861391,0.101773138,5.171328679
261,phase3_vs_phase2,33.74057747,0.127920443,26.21158797
261,phase3_vs_phase4,110.7130722,0.130152285,5.450449584
261,phase5_vs_phase2,52.8643562,0.122594764,21.28304605
261,phase5_vs_phase4,50.80831792,0.118762463,8.076786267
263,phase1_vs_phase3,25.89989926,0.06694484,38.34997699
263,phase1_vs_phase5,19.1775701,0.105808979,15.54856678
263,phase3_vs_phase5,25.31242176,0.097248423,13.99592493
263,phase1_vs_phase2,36.58450684,0.091868782,31.02374043
263,phase1_vs_phase4,1259.708608,0.106209514,3.562539549
263,phase3_vs_phase2,71.06317238,0.083385601,22.17977961
263,phase3_vs_phase4,1451.306645,0.099031471,3.376053073
263,phase5_vs_phase2,8.943605612,0.102048528,21.908833
263,phase5_vs_phase4,203.7940973,0.118006081,3.665206784
264,phase1_vs_phase3,52.55155288,0.087393062,25.4297248
264,phase1_vs_phase5,84.87489287,0.096864277,20.88371692
264,phase3_vs_phase5,93.32666045,0.101918697,19.0035333
264,phase1_vs_phase2,35.97894119,0.092034234,29.39072974
264,phase1_vs_phase4,145.6074783,0.105384626,12.21257226
264,phase3_vs_phase2,7.755490284,0.080625988,65.30197165
264,phase3_vs_phase4,239.1595719,0.108886207,9.995262144
264,phase5_vs_phase2,69.76316467,0.106285308,20.95621164
264,phase5_vs_phase4,114.938037,0.083676772,13.54901039
269,phase1_vs_phase3,11369.65987,0.109347431,1.328390601
269,phase1_vs_phase5,59237.12212,0.109491301,0.783515792
269,phase3_vs_phase5,1774.005319,0.120418548,3.17417221
269,phase1_vs_phase2,630.4448806,0.102721238,2.536767925
269,phase1_vs_phase4,2845.347347,0.104734673,0.820076799
269,phase3_vs_phase2,594.9769573,0.108047574,2.716292812
269,phase3_vs_phase4,60.9201108,0.124210859,6.050359262
269,phase5_vs_phase2,1966.991526,0.140716539,1.303735182
269,phase5_vs_phase4,137.4893534,0.101057366,3.231193829
278,phase1_vs_phase3,2010.974234,0.079088148,3.587320826
278,phase1_vs_phase5,2494.006844,0.111888639,3.194595843
278,phase3_vs_phase5,176.7784193,0.121848987,11.66225941
278,phase1_vs_phase2,3930.139786,0.131347343,2.01415835
278,phase1_vs_phase4,1994.526315,0.082365964,3.38307693
278,phase3_vs_phase2,840.7818132,0.125497346,3.849736348
278,phase3_vs_phase4,37.5013724,0.039378453,24.0914536
278,phase5_vs_phase2,823.3092217,0.129412935,3.877796635
278,phase5_vs_phase4,292.5682763,0.088383886,8.398877072
279,phase1_vs_phase3,150.7130059,0.121645263,15.91837821
279,phase1_vs_phase5,527.3708659,0.126724737,6.306777841
279,phase3_vs_phase5,200.0119528,0.148327224,11.00133877
279,phase1_vs_phase2,884.5505279,0.111057483,6.190410787
279,phase1_vs_phase4,451.5498933,0.123406229,6.666570466
279,phase3_vs_phase2,507.0472609,0.112338854,8.140878384
279,phase3_vs_phase4,150.9397712,0.136850424,12.40148371
279,phase5_vs_phase2,546.1466184,0.165435929,6.154982626
279,phase5_vs_phase4,20.6015556,0.130370066,29.77503985
280,phase1_vs_phase3,106.2011643,0.148788556,11.74320334
280,phase1_vs_phase5,886.7544007,0.13176328,5.359984876
280,phase3_vs_phase5,721.37698,0.134670298,4.455971707
280,phase1_vs_phase2,829.0324856,0.122905043,5.601574969
280,phase1_vs_phase4,759.5596832,0.132880909,5.395605414
280,phase3_vs_phase2,243.3087089,0.130082812,8.04126245
280,phase3_vs_phase4,515.0877927,0.126525001,4.998485118
280,phase5_vs_phase2,1400.580075,0.140994224,4.639521483
280,phase5_vs_phase4,137.2817,0.110260045,13.71715873
281,phase1_vs_phase3,158.4140471,0.100668497,14.0180983
281,phase1_vs_phase5,359.5834621,0.103736782,9.478870102
281,phase3_vs_phase5,440.0753688,0.097018396,8.398786322
281,phase1_vs_phase2,731.2695078,0.112779177,5.322867772
281,phase1_vs_phase4,262.9584036,0.101822789,10.96959535
281,phase3_vs_phase2,544.2077166,0.105006571,6.078625523
281,phase3_vs_phase4,222.8741533,0.098554407,11.65577375
281,phase5_vs_phase2,1498.632961,0.120739169,3.853790847
281,phase5_vs_phase4,60.37082289,0.09116884,23.01537293
282,phase1_vs_phase3,44.40162092,0.100163141,27.31742328
282,phase1_vs_phase5,182.4707726,0.104517811,13.30371449
282,phase3_vs_phase5,89.55637052,0.109397084,18.78568625
282,phase1_vs_phase2,733.7765681,0.100734459,6.181165746
282,phase1_vs_phase4,13.63665717,0.127554782,34.41744392
282,phase3_vs_phase2,549.7313614,0.094996792,7.127062528
282,phase3_vs_phase4,18.23653294,0.103212796,30.15510308
282,phase5_vs_phase2,256.8121977,0.117327055,10.28968185
282,phase5_vs_phase4,79.62453366,0.109859733,14.19469226
283,phase1_vs_phase3,96.31230432,0.100597302,15.61579408
283,phase1_vs_phase5,231.5219084,0.091734182,12.11407194
283,phase3_vs_phase5,52.14420927,0.108853599,19.76643265
283,phase1_vs_phase2,538.3382418,0.111654906,6.919425242
283,phase1_vs_phase4,90.33201678,0.091277912,19.77692969
283,phase3_vs_phase2,187.8462549,0.079425874,9.16029707
283,phase3_vs_phase4,18.6695746,0.09731854,34.81691671
283,phase5_vs_phase2,256.1613486,0.112661243,9.635188866
283,phase5_vs_phase4,54.95618871,0.08989677,26.03000523
284,phase1_vs_phase3,70.74794782,0.12518373,11.3195639
284,phase1_vs_phase5,1310.821634,0.129516522,4.096432801
284,phase3_vs_phase5,456.9835677,0.125618992,3.903234452
284,phase1_vs_phase2,409.8000171,0.119352761,5.427507602
284,phase1_vs_phase4,1082.12719,0.131522681,4.299148394
284,phase3_vs_phase2,76.40566924,0.116453808,9.253637519
284,phase3_vs_phase4,429.5969037,0.116901848,4.089905926
284,phase5_vs_phase2,930.5564772,0.148715334,3.248542683
284,phase5_vs_phase4,43.70841836,0.069084629,22.31578675
285,phase1_vs_phase3,609.5467287,0.117453446,6.408336395
285,phase1_vs_phase5,192.2167594,0.134653346,11.61808918
285,phase3_vs_phase5,1835.701001,0.110443258,3.86118206
285,phase1_vs_phase2,672.0716274,0.106306946,6.28536081
285,phase1_vs_phase4,520.7445676,0.113240458,7.368026224
285,phase3_vs_phase2,12.13976612,0.105764928,47.77352339
285,phase3_vs_phase4,428.0971234,0.07461578,8.339368876
285,phase5_vs_phase2,1831.738272,0.132070371,3.966448194
285,phase5_vs_phase4,1949.806935,0.069074009,4.5997302
287,phase1_vs_phase3,463.421337,0.118227337,7.971533481
287,phase1_vs_phase5,783.2146249,0.109374446,6.280824594
287,phase3_vs_phase5,38.94665542,0.104433651,27.74235019
287,phase1_vs_phase2,239.6425812,0.096402474,8.799233488
287,phase1_vs_phase4,574.9247081,0.119715406,7.128371608
287,phase3_vs_phase2,31.85116253,0.07716751,25.11738504
287,phase3_vs_phase4,66.65248182,0.091511326,20.66652789
287,phase5_vs_phase2,76.71001348,0.111229508,16.65023953
287,phase5_vs_phase4,110.2715491,0.090313788,16.45551963
288,phase1_vs_phase3,1523.868417,0.123536567,4.83234435
288,phase1_vs_phase5,1182.622537,0.130089498,5.29047233
288,phase3_vs_phase5,193.3746739,0.132733107,12.81188328
288,phase1_vs_phase2,1130.259296,0.092230823,5.080641876
288,phase1_vs_phase4,1388.590744,0.127660208,5.126506375
288,phase3_vs_phase2,57.99111169,0.112546103,22.07104944
288,phase3_vs_phase4,124.8907693,0.127766435,16.5421424
288,phase5_vs_phase2,133.7105344,0.107810038,13.97394469
288,phase5_vs_phase4,64.59380548,0.097958108,22.15625901
289,phase1_vs_phase3,12.54187489,0.026290382,32.16319832
289,phase1_vs_phase5,193.639282,0.11828673,10.79309356
289,phase3_vs_phase5,106.4582727,0.132279195,10.24492788
289,phase1_vs_phase2,27.17803882,0.096501075,32.98238686
289,phase1_vs_phase4,63.67693831,0.096393354,18.7998751
289,phase3_vs_phase2,1.991761972,0.12385838,75.59516275
289,phase3_vs_phase4,36.09095156,0.108738848,17.34570795
289,phase5_vs_phase2,152.3758213,0.145341481,11.23266567
289,phase5_vs_phase4,27.73038224,0.096630244,24.83035299
292,phase1_vs_phase3,4330.128142,0.13783954,1.365860311
292,phase1_vs_phase5,9232.803773,0.126403545,0.994724982
292,phase3_vs_phase5,159.5740977,0.150803864,6.916910942
292,phase1_vs_phase2,102.2765259,0.123155557,14.02186383
292,phase1_vs_phase4,12407.83932,0.145846958,0.927405558
292,phase3_vs_phase2,3564.521834,0.132192654,1.546021094
292,phase3_vs_phase4,664.1177538,0.122785846,3.643515254
292,phase5_vs_phase2,7372.172527,0.139857294,1.125268875
292,phase5_vs_phase4,236.6776963,0.130510496,6.177745613
304,phase1_vs_phase3,2949.241282,0.109539318,3.641490093
304,phase1_vs_phase5,961.1221549,0.13363624,3.568442878
304,phase3_vs_phase5,27.27360583,0.141051844,21.05397179
304,phase1_vs_phase2,1712.326778,0.115767028,3.475848626
304,phase1_vs_phase4,3839.934331,0.116627782,3.278213316
304,phase3_vs_phase2,119.5073059,0.115074856,12.7393763
304,phase3_vs_phase4,27.6471317,0.10561595,35.96119519
304,phase5_vs_phase2,60.83156248,0.148038367,11.22674745
304,phase5_vs_phase4,11.17164786,0.084085169,30.23580466
305,phase1_vs_phase3,544.2588683,0.088536525,6.514950994
305,phase1_vs_phase5,547.2155499,0.093805246,6.44527705
305,phase3_vs_phase5,49.68606699,0.097119846,21.18797589
305,phase1_vs_phase2,764.8984618,0.100188538,3.359884683
305,phase1_vs_phase4,1480.605334,0.084860801,4.378346451
305,phase3_vs_phase2,316.8884504,0.081120016,5.797601344
305,phase3_vs_phase4,267.0720991,0.032751185,9.482623672
305,phase5_vs_phase2,358.9139186,0.109378526,5.300107084
305,phase5_vs_phase4,273.7270118,0.074236017,9.294913465
306,phase1_vs_phase3,556.5984466,0.093147619,5.336390117
306,phase1_vs_phase5,83.4254762,0.06409676,14.81133824
306,phase3_vs_phase5,371.7605388,0.101749888,6.917657787
306,phase1_vs_phase2,2295.855554,0.116217058,3.010250798
306,phase1_vs_phase4,562.427263,0.098518146,5.109780454
306,phase3_vs_phase2,1114.783829,0.110613282,4.24512644
306,phase3_vs_phase4,188.9092428,0.084055259,8.699973531
306,phase5_vs_phase2,2379.207226,0.114408046,3.177467863
306,phase5_vs_phase4,380.5939,0.109316579,6.571600241
307,phase1_vs_phase3,1224.715055,0.100280366,4.775978533
307,phase1_vs_phase5,2112.28667,0.109000876,3.662103843
307,phase3_vs_phase5,147.0787705,0.065964921,13.82138163
307,phase1_vs_phase2,2299.460296,0.106370061,3.030299128
307,phase1_vs_phase4,3872.956213,0.114112936,2.62672932
307,phase3_vs_phase2,319.1873812,0.126288867,8.220539647
307,phase3_vs_phase4,483.4581639,0.132431165,7.187056619
307,phase5_vs_phase2,77.36860294,0.107410976,16.82943184
307,phase5_vs_phase4,120.2202398,0.100030776,14.52643815
308,phase1_vs_phase3,190.9311562,0.088799953,14.52346878
308,phase1_vs_phase5,133.0587189,0.103479006,16.36719396
308,phase3_vs_phase5,21.98457322,0.108709529,38.16261825
308,phase1_vs_phase2,175.5856467,0.057123873,14.49401328
308,phase1_vs_phase4,269.5441529,0.094123186,11.09683846
308,phase3_vs_phase2,42.7038107,0.070180046,27.58242283
308,phase3_vs_phase4,36.39578993,0.074062321,28.34657846
308,phase5_vs_phase2,8.870664324,0.122214216,57.87876226
308,phase5_vs_phase4,35.29076532,0.092929178,27.70496358
309,phase1_vs_phase3,426.8619407,0.087822641,8.049963345
309,phase1_vs_phase5,9467.265339,0.113358796,1.667111714
309,phase3_vs_phase5,6760.837863,0.100812544,1.935807694
309,phase1_vs_phase2,318.7162542,0.096968525,7.401460518
309,phase1_vs_phase4,5011.422065,0.096376666,1.554058414
309,phase3_vs_phase2,291.7094364,0.091484807,7.433201176
309,phase3_vs_phase4,3282.839759,0.097442727,1.814759063
309,phase5_vs_phase2,7163.440697,0.121730516,1.388653735
309,phase5_vs_phase4,59.70857384,0.111461287,11.96585195
310,phase1_vs_phase3,6886.666811,0.085482381,2.375507631
310,phase1_vs_phase5,719.6090176,0.10208667,3.801086459
310,phase3_vs_phase5,809.5031543,0.102563784,3.643201086
310,phase1_vs_phase2,489.9134452,0.10128249,3.879097129
310,phase1_vs_phase4,861.4153266,0.104089302,2.662395089
310,phase3_vs_phase2,2422.364409,0.089265484,1.783669289
310,phase3_vs_phase4,2574.214948,0.109940224,1.577543601
310,phase5_vs_phase2,943.8052677,0.122947136,2.370126511
310,phase5_vs_phase4,964.722642,0.099769747,2.227677112
311,phase1_vs_phase3,1341.40661,0.110915271,5.240996686
311,phase1_vs_phase5,1150.388134,0.115239532,4.669102271
311,phase3_vs_phase5,474.2791099,0.123261244,7.193828622
311,phase1_vs_phase2,1784.915145,0.084787481,4.794508876
311,phase1_vs_phase4,325.509548,0.105341216,9.48054714
311,phase3_vs_phase2,230.3915226,0.099443384,12.67797991
311,phase3_vs_phase4,333.9327071,0.077557625,9.115633478
311,phase5_vs_phase2,599.0557222,0.121282059,6.857699515
311,phase5_vs_phase4,286.1872045,0.11352456,8.792980137
312,phase1_vs_phase3,701.6276858,0.10087166,5.141706148
312,phase1_vs_phase5,190.8340771,0.064758202,10.64183847
312,phase3_vs_phase5,591.81506,0.100585938,5.212534903
312,phase1_vs_phase2,145.0677396,0.099919712,5.841843777
312,phase1_vs_phase4,247.1027006,0.08877563,3.976924502
312,phase3_vs_phase2,169.8381362,0.102745316,5.585858714
312,phase3_vs_phase4,182.1143608,0.105062666,4.848203371
312,phase5_vs_phase2,157.6170358,0.122669242,5.576078437
312,phase5_vs_phase4,238.7435777,0.095296175,4.031807909
313,phase1_vs_phase3,12419.24691,0.096224946,1.532497422
313,phase1_vs_phase5,273.7018573,0.126011568,11.00955773
313,phase3_vs_phase5,18084.86091,0.118634583,1.267678318
313,phase1_vs_phase2,3668.788029,0.088792938,1.968689029
313,phase1_vs_phase4,11031.89167,0.133833595,1.496987366
313,phase3_vs_phase2,433.4870585,0.106559146,5.529539852
313,phase3_vs_phase4,184.6260291,0.104208033,10.98418133
313,phase5_vs_phase2,4677.849842,0.132317583,1.596823437
313,phase5_vs_phase4,16063.82875,0.100383257,1.221341902
314,phase1_vs_phase3,207.8511562,0.08801852,10.50878506
314,phase1_vs_phase5,226.6893321,0.093429142,11.21576706
314,phase3_vs_phase5,6.253092338,0.04523814,60.0457249
314,phase1_vs_phase2,1796.580068,0.089900091,3.792310972
314,phase1_vs_phase4,1412.095532,0.096112675,4.504834462
314,phase3_vs_phase2,659.5479812,0.081335327,5.252411339
314,phase3_vs_phase4,505.6131209,0.106599476,6.366895997
314,phase5_vs_phase2,640.6278543,0.091656199,6.090344268
314,phase5_vs_phase4,472.4071067,0.096690558,7.472382305
315,phase1_vs_phase3,98.12012573,0.08644553,13.10795021
315,phase1_vs_phase5,124.4726909,0.109611752,14.13451076
315,phase3_vs_phase5,22.28834683,0.082514962,31.20071063
315,phase1_vs_phase2,28.76103531,0.111941438,10.58618222
315,phase1_vs_phase4,107.1627558,0.092434215,16.38380346
315,phase3_vs_phase2,46.50726763,0.074473743,10.04886575
315,phase3_vs_phase4,106.2249536,0.078074898,12.4064932
315,phase5_vs_phase2,75.79611638,0.122665794,9.653189183
315,phase5_vs_phase4,129.2252847,0.094631065,13.73591739
316,phase1_vs_phase3,3010.746146,0.10364411,3.035078147
316,phase1_vs_phase5,3015.242114,0.105765853,3.122102359
316,phase3_vs_phase5,53.76728667,0.122978751,23.61655601
316,phase1_vs_phase2,5876.353222,0.086700643,2.104796495
316,phase1_vs_phase4,6910.549358,0.111557122,1.844831793
316,phase3_vs_phase2,247.6410589,0.113562241,10.54164531
