Subject,Phase_vs_phase,model,DaviesBouldin
100,Birch,phase1_vs_phase2,0.23646560629256796
100,Birch,phase1_vs_phase3,0.35118852202620576
100,Birch,phase1_vs_phase4,0.3477420884253167
100,Birch,phase1_vs_phase5,0.2636142503378393
100,KMeans,phase1_vs_phase2,0.37551628385293
100,KMeans,phase1_vs_phase3,0.3513633915416804
100,KMeans,phase1_vs_phase4,0.35616805327544887
100,KMeans,phase1_vs_phase5,0.38438640520953027
100,GaussianMixture,phase1_vs_phase2,0.5624436677890483
100,GaussianMixture,phase1_vs_phase3,0.3708556259434141
100,GaussianMixture,phase1_vs_phase4,3.9566657656607167
100,GaussianMixture,phase1_vs_phase5,3.368358907281863
208,Birch,phase1_vs_phase2,0.259891043305051
208,Birch,phase1_vs_phase3,0.2414219842674715
208,Birch,phase1_vs_phase4,0.3892613653501275
208,Birch,phase1_vs_phase5,0.6927875378424395
208,KMeans,phase1_vs_phase2,0.5251630256862627
208,KMeans,phase1_vs_phase3,0.8726475033710988
208,KMeans,phase1_vs_phase4,0.8542878400892899
208,KMeans,phase1_vs_phase5,0.8077901494974232
208,GaussianMixture,phase1_vs_phase2,0.5848843557103874
208,GaussianMixture,phase1_vs_phase3,3.399208985479438
208,GaussianMixture,phase1_vs_phase4,10.603505512751655
208,GaussianMixture,phase1_vs_phase5,3.202688011142423
209,Birch,phase1_vs_phase2,0.4841526325839808
209,Birch,phase1_vs_phase3,0.37075370690821846
209,Birch,phase1_vs_phase4,0.3728698064529183
209,Birch,phase1_vs_phase5,0.25255117334487875
209,KMeans,phase1_vs_phase2,0.8601822078416658
209,KMeans,phase1_vs_phase3,0.4185713330588098
209,KMeans,phase1_vs_phase4,0.4926858894410722
209,KMeans,phase1_vs_phase5,0.302589558614967
209,GaussianMixture,phase1_vs_phase2,0.8960327542655734
209,GaussianMixture,phase1_vs_phase3,1.0299740273122322
209,GaussianMixture,phase1_vs_phase4,0.5491268200711072
209,GaussianMixture,phase1_vs_phase5,1.0057580047927566
210,Birch,phase1_vs_phase2,0.7967897765703652
210,Birch,phase1_vs_phase3,1.0947075546228036
210,Birch,phase1_vs_phase4,0.9646245261240605
210,Birch,phase1_vs_phase5,0.6382257616870186
210,KMeans,phase1_vs_phase2,0.8178745585814567
210,KMeans,phase1_vs_phase3,1.0943073107315577
210,KMeans,phase1_vs_phase4,1.0386318874946885
210,KMeans,phase1_vs_phase5,0.664551984976949
210,GaussianMixture,phase1_vs_phase2,2.4301172269955154
210,GaussianMixture,phase1_vs_phase3,1.2658597099214488
210,GaussianMixture,phase1_vs_phase4,1.7371892791951864
210,GaussianMixture,phase1_vs_phase5,4.406324266145486
211,Birch,phase1_vs_phase2,0.8719339481489462
211,Birch,phase1_vs_phase3,0.772117533156
211,Birch,phase1_vs_phase4,0.5626947256297636
211,Birch,phase1_vs_phase5,0.8308790180419585
211,KMeans,phase1_vs_phase2,0.859985041480677
211,KMeans,phase1_vs_phase3,0.7210859038895772
211,KMeans,phase1_vs_phase4,0.5536946812265546
211,KMeans,phase1_vs_phase5,0.7459635548353776
211,GaussianMixture,phase1_vs_phase2,2.8248591638746903
211,GaussianMixture,phase1_vs_phase3,0.7454060685358785
211,GaussianMixture,phase1_vs_phase4,0.6195688559268084
211,GaussianMixture,phase1_vs_phase5,3.608457272884439
212,Birch,phase1_vs_phase2,0.45565800399320966
212,Birch,phase1_vs_phase3,1.2089309980599616
212,Birch,phase1_vs_phase4,0.49361506771233005
212,Birch,phase1_vs_phase5,0.633959435282287
212,KMeans,phase1_vs_phase2,0.4824760637124504
212,KMeans,phase1_vs_phase3,1.1684380223417632
212,KMeans,phase1_vs_phase4,0.7043280994738901
212,KMeans,phase1_vs_phase5,0.633959435282287
212,GaussianMixture,phase1_vs_phase2,0.511400201966838
212,GaussianMixture,phase1_vs_phase3,1.6297689706896965
212,GaussianMixture,phase1_vs_phase4,1.0679994959231238
212,GaussianMixture,phase1_vs_phase5,0.633959435282287
215,Birch,phase1_vs_phase2,0.43967776018757215
215,Birch,phase1_vs_phase3,0.38576525585676513
215,Birch,phase1_vs_phase4,0.8252456738683698
215,Birch,phase1_vs_phase5,0.39100041761208376
215,KMeans,phase1_vs_phase2,0.38133987814907916
215,KMeans,phase1_vs_phase3,0.9571170481598927
215,KMeans,phase1_vs_phase4,1.0373273565616281
215,KMeans,phase1_vs_phase5,1.119785471199003
215,GaussianMixture,phase1_vs_phase2,11.868193894424417
215,GaussianMixture,phase1_vs_phase3,2.2387583212328432
215,GaussianMixture,phase1_vs_phase4,1.4691637295194837
215,GaussianMixture,phase1_vs_phase5,1.9562189011908435
216,Birch,phase1_vs_phase2,0.35271232924626444
216,Birch,phase1_vs_phase3,1.2406343086399678
216,Birch,phase1_vs_phase4,0.33616614340473994
216,Birch,phase1_vs_phase5,0.588417924422693
216,KMeans,phase1_vs_phase2,0.7909532230007918
216,KMeans,phase1_vs_phase3,1.1003282471024631
216,KMeans,phase1_vs_phase4,0.44731809765016034
216,KMeans,phase1_vs_phase5,0.8509735967726643
216,GaussianMixture,phase1_vs_phase2,2.0948254226313883
216,GaussianMixture,phase1_vs_phase3,2.7775298320551607
216,GaussianMixture,phase1_vs_phase4,2.6690913207064115
