,,,Original Feat,,Non-time dependencies,,
Subject,Phase_vs_phase,model,AUC,F1,AUC,F1,
212,KMeans,phase1_vs_phase3,0.510296404,0.432259044,0.50015323,0.001040278,0.010143173
212,KMeans,phase1_vs_phase4,0.513146839,0.168679392,0.500298905,0.670413497,0.012847934
212,KMeans,phase1_vs_phase5,1,1,0.999126037,0.0003612,0.000873963
212,GaussianMixture,phase1_vs_phase2,0.643847656,0.528416706,0.500032552,0.0001302,0.143815104
212,GaussianMixture,phase1_vs_phase3,0.724882002,0.410720734,0.50140795,0.128857761,0.223474053
212,GaussianMixture,phase1_vs_phase4,0.906714319,0.915948597,0.511362372,0.18715258,0.395351947
212,GaussianMixture,phase1_vs_phase5,1,0,0.548738189,0.375234522,0.451261811
215,Birch,phase1_vs_phase2,0.524223153,0.648009591,0.500016276,6.51E-05,0.024206877
215,Birch,phase1_vs_phase3,0.509472656,0.66181363,0.500016276,6.51E-05,0.00945638
215,Birch,phase1_vs_phase4,0.535367839,0.132125376,0.500016276,6.51E-05,0.035351563
215,Birch,phase1_vs_phase5,0.506252117,0.661122142,0.500016276,6.51E-05,0.006235841
215,KMeans,phase1_vs_phase2,0.521451823,0.082277296,0.521451823,0.082277296,0
215,KMeans,phase1_vs_phase3,0.500944347,0.508899441,0.502415665,0.665458346,-0.001471318
215,KMeans,phase1_vs_phase4,0.668914229,0.489741045,0.500016276,6.51E-05,0.168897953
215,KMeans,phase1_vs_phase5,0.519658548,0.518321075,0.500016276,6.51E-05,0.019642272
215,GaussianMixture,phase1_vs_phase2,0.866536458,0.845980466,0.505455975,0.233056828,0.361080483
215,GaussianMixture,phase1_vs_phase3,1,1,0.509891569,0.202790603,0.490108431
215,GaussianMixture,phase1_vs_phase4,0.987255859,0.025371829,0.500016276,6.51E-05,0.487239583
215,GaussianMixture,phase1_vs_phase5,1,1,0.513793069,0.145143787,0.486206931
216,Birch,phase1_vs_phase2,0.514713542,0.057171768,0.500016276,6.51E-05,0.014697266
216,Birch,phase1_vs_phase3,0.504294697,0.271820449,0.500016276,6.51E-05,0.004278421
216,Birch,phase1_vs_phase4,0.522477214,0.086040933,0.500016276,6.51E-05,0.022460938
216,Birch,phase1_vs_phase5,0.506348816,0.105961828,0.500016276,6.51E-05,0.00633254
216,KMeans,phase1_vs_phase2,0.521639583,0.208772545,0.510568989,0.588129372,0.011070594
216,KMeans,phase1_vs_phase3,0.514074181,0.401322021,0.512875771,0.370092031,0.00119841
216,KMeans,phase1_vs_phase4,0.536067708,0.134564003,0.535986328,0.134280769,8.13802E-05
216,KMeans,phase1_vs_phase5,0.502027142,0.430545672,0.51089164,0.380343746,-0.008864498
216,GaussianMixture,phase1_vs_phase2,0.536058264,0.327774017,0.522509583,0.13113865,0.013548681
216,GaussianMixture,phase1_vs_phase3,0.876298613,0.875136513,0.514848399,0.138538768,0.361450214
216,GaussianMixture,phase1_vs_phase4,1,1,0.500016276,6.51E-05,0.499983724
216,GaussianMixture,phase1_vs_phase5,1,0,0.516254983,0.141120938,0.483745017
217,Birch,phase1_vs_phase2,0.57311364,0.177773611,0.500016276,6.51E-05,0.073097364
217,Birch,phase1_vs_phase3,0.558037083,0.218034439,0.500016276,6.51E-05,0.058020807
217,Birch,phase1_vs_phase4,0.609184205,0.064228009,0.500016276,6.51E-05,0.109167929
217,Birch,phase1_vs_phase5,0.585401131,0.132086895,0.500016276,6.51E-05,0.085384855
217,KMeans,phase1_vs_phase2,0.543277565,0.541794239,0.500016276,6.51E-05,0.043261289
217,KMeans,phase1_vs_phase3,0.51818972,0.559507175,0.516454432,0.001825507,0.001735288
217,KMeans,phase1_vs_phase4,0.582011359,0.259394192,0.500016276,6.51E-05,0.081995083
217,KMeans,phase1_vs_phase5,0.535722756,0.589062432,0.500016276,6.51E-05,0.03570648
217,GaussianMixture,phase1_vs_phase2,0.867881404,0.884980482,0.500032552,0.0001302,0.367848852
217,GaussianMixture,phase1_vs_phase3,0.999983724,0.999983724,0.556360224,0.532699431,0.4436235
217,GaussianMixture,phase1_vs_phase4,0.782503255,0.359694221,0.500016276,6.51E-05,0.282486979
217,GaussianMixture,phase1_vs_phase5,0.536924034,0.322853488,0.500016276,6.51E-05,0.036907758
219,Birch,phase1_vs_phase2,0.500167913,0.023953237,0.500016276,6.51E-05,0.000151637
219,Birch,phase1_vs_phase3,0.508372421,0.659737442,0.500016276,6.51E-05,0.008356145
219,Birch,phase1_vs_phase4,0.503745083,0.037387899,0.500016276,6.51E-05,0.003728807
219,Birch,phase1_vs_phase5,0.500449497,0.026582921,0.500065104,0.000260383,0.000384393
219,KMeans,phase1_vs_phase2,0.502439088,0.297870398,0.500433906,0.05576929,0.002005182
219,KMeans,phase1_vs_phase3,0.508261997,0.056180477,0.500505517,0.05129788,0.00775648
