Subject,Phase_vs_phase,model,AUC,F1,AdjustedMutualInformation,CalinskiHarabasz,Silhouette_Mahanlanobis,DaviesBouldin
100,Agglomerative,phase1_vs_phase2,0.5042495334190616,0.026345573440643866,0.001305505313382508,58605.50458222669,0.5266644983658295,0.21332243392663655
100,Agglomerative,phase1_vs_phase3,0.5026851396911918,0.05219388071743313,0.00035039713191022917,89175.0016550581,0.5189365716348635,0.2073623767233405
100,Agglomerative,phase1_vs_phase4,0.5117381704055188,0.03185949776613773,0.0062004061101558995,93059.8789141149,0.5122911894170159,0.3552407218179076
100,Agglomerative,phase1_vs_phase5,0.5035691579762172,0.02961754463025131,0.0008562722725631592,61887.42567837564,0.545560024414978,0.24453733347771367
208,Agglomerative,phase1_vs_phase2,0.5017015015646199,0.024101762999330506,0.00034656720999330344,33369.30345108275,0.5690175159836847,0.2605086016352071
208,Agglomerative,phase1_vs_phase3,0.606618918225082,0.44337916063675836,0.034422134025402576,36391.37969683686,0.10400740404962383,0.9165090045941656
208,Agglomerative,phase1_vs_phase4,0.508608124234753,0.3798503740648379,0.0002464338043177327,33442.70395273782,0.08372297080974103,0.9202951534503662
208,Agglomerative,phase1_vs_phase5,0.6194168774988794,0.5242044201152007,0.05334812823472169,51861.149861291764,0.13758294110024544,0.7805792087061918
209,Agglomerative,phase1_vs_phase2,0.7267578125,0.4319734455208615,0.30934615473365584,49447.95594158588,0.17308286659531255,0.8596870373955156
209,Agglomerative,phase1_vs_phase3,0.6024088541666667,0.33999783853885224,0.14936759305393646,116278.65080928535,0.32336912515836974,0.3673130248646638
209,Agglomerative,phase1_vs_phase4,0.7267578125,0.624025799516259,0.30934615473365584,161654.6711888125,0.232108965808362,0.37284466459449683
209,Agglomerative,phase1_vs_phase5,0.5911428664431496,0.3083615539219735,0.13502564219286992,180134.62869486483,0.3146612145313723,0.22478897714171073
210,Agglomerative,phase1_vs_phase2,0.5929424317068732,0.32677355753134185,0.02727033129980691,62646.17998906091,0.14558920919079035,0.819088059447274
210,Agglomerative,phase1_vs_phase3,0.949462890625,0.9467729493443044,0.757940457426353,26457.32590544862,0.21607356488187066,1.2712556248300446
210,Agglomerative,phase1_vs_phase4,0.6104554525402065,0.292601450100596,0.039730777479459474,38430.712902795996,0.12901364317918804,0.9474810629021712
210,Agglomerative,phase1_vs_phase5,0.5129809990446368,0.3541911174254123,0.0006143729263158006,86448.2991566243,0.16050756023432794,0.6544127154508417
211,Agglomerative,phase1_vs_phase2,0.5353103076706708,0.37073959315640576,0.004090516483117198,57152.76410932986,0.14676044230008176,0.8991739519889874
211,Agglomerative,phase1_vs_phase3,0.5108839068549589,0.4857133419218445,0.0003301840003604873,103004.45033091729,0.16812858827917684,0.7234392380819228
211,Agglomerative,phase1_vs_phase4,0.5291860434453489,0.4689976173325206,0.0026386089709815974,130443.76893643344,0.17081701909351854,0.559281048074227
211,Agglomerative,phase1_vs_phase5,0.5124043900659481,0.4577549458957263,0.00045913708148183444,70293.49433770103,0.16318846732627584,0.7907615947150402
212,Agglomerative,phase1_vs_phase2,0.541357421875,0.15279155768016595,0.06797167121052891,33783.649135976055,0.4541000399420626,0.4553540529484262
212,Agglomerative,phase1_vs_phase3,0.5546496367532636,0.2862735193837605,0.011708421421836857,23331.206316979304,0.11026333453189759,1.2247002136523093
212,Agglomerative,phase1_vs_phase4,0.5276729710353999,0.16135561852987104,0.014348510128870066,43342.9201096495,0.3178224833931384,0.6160589951710583
212,Agglomerative,phase1_vs_phase5,0.9999837239583333,3.281916639317362e-05,0.9997318841539894,110679.79596311397,0.2203287992435565,0.6339609253638225
215,Agglomerative,phase1_vs_phase2,0.5247721354166667,0.09441101668630979,0.04300168417063567,62842.068371990594,0.4890046387220495,0.4390498163638242
215,Agglomerative,phase1_vs_phase3,0.509375,0.03680981595092024,0.017441036637602235,28320.19807679144,0.6015621406692836,0.3830597152581188
215,Agglomerative,phase1_vs_phase4,0.5424479166666667,0.15650504080652905,0.06954723478836285,24461.95159169939,0.48639844823637035,0.7250644104665754
215,Agglomerative,phase1_vs_phase5,0.640963011035069,0.12227074235807861,0.09667587789511721,24340.32216102328,0.134409392142285,1.010877615630383
216,Agglomerative,phase1_vs_phase2,0.5313548514464203,0.18135260477423393,0.01580135226920108,39529.24781468554,0.34736647726934794,0.7597006424101638
